name,description,category,unit,unit_cost,supplier_name,minimum_stock,maximum_stock,current_stock,batch_number,location,gl_account,sku,vendor_item_number,notes
Sample Item 45,Sample description for inventory item 45,dairy,liter,13.75,DairyBest Distributors,7.00,21.00,21.00,BATCH-045,Freezer,5144,SKU-00045,VIN-000135,Notes for item 45
Sample Item 46,Sample description for inventory item 46,dry_goods,case,3.25,Metro Restaurant Supply,8.00,18.00,9.00,BATCH-046,Bar Storage,5145,SKU-00046,VIN-000138,Notes for item 46
Sample Item 47,Sample description for inventory item 47,beverages,each,4.00,Gourmet Goods LLC,9.00,20.00,19.00,BATCH-047,Prep Station,5146,SKU-00047,VIN-000141,Notes for item 47
Sample Item 48,Sample description for inventory item 48,other,pack,4.75,Sunrise Produce,10.00,22.00,18.00,BATCH-048,Pantry,5147,SKU-00048,VIN-000144,Notes for item 48
Sample Item 49,Sample description for inventory item 49,produce,lb,5.50,Fresh Farms Co.,11.00,24.00,17.00,BATCH-049,Walk-in Cooler,5148,SKU-00049,VIN-000147,Notes for item 49
Sample Item 50,Sample description for inventory item 50,meat,kg,6.25,Prime Protein Supply,5.00,19.00,9.00,BATCH-050,Dry Storage,5149,SKU-00050,VIN-000150,Notes for item 50
Sample Item 51,Sample description for inventory item 51,dairy,oz,7.00,DairyBest Distributors,6.00,16.00,12.00,BATCH-051,Freezer,5100,SKU-00051,VIN-000153,Notes for item 51
Sample Item 52,Sample description for inventory item 52,dry_goods,gal,7.75,Metro Restaurant Supply,7.00,18.00,10.00,BATCH-052,Bar Storage,5101,SKU-00052,VIN-000156,Notes for item 52
Sample Item 53,Sample description for inventory item 53,beverages,liter,8.50,Gourmet Goods LLC,8.00,20.00,8.00,BATCH-053,Prep Station,5102,SKU-00053,VIN-000159,Notes for item 53
Sample Item 54,Sample description for inventory item 54,other,case,9.25,Sunrise Produce,9.00,22.00,20.00,BATCH-054,Pantry,5103,SKU-00054,VIN-000162,Notes for item 54
Sample Item 55,Sample description for inventory item 55,produce,each,10.00,Fresh Farms Co.,10.00,24.00,19.00,BATCH-055,Walk-in Cooler,5104,SKU-00055,VIN-000165,Notes for item 55
Sample Item 56,Sample description for inventory item 56,meat,pack,10.75,Prime Protein Supply,11.00,21.00,11.00,BATCH-056,Dry Storage,5105,SKU-00056,VIN-000168,Notes for item 56
Sample Item 57,Sample description for inventory item 57,dairy,lb,11.50,DairyBest Distributors,5.00,16.00,13.00,BATCH-057,Freezer,5106,SKU-00057,VIN-000171,Notes for item 57
Sample Item 58,Sample description for inventory item 58,dry_goods,kg,12.25,Metro Restaurant Supply,6.00,18.00,11.00,BATCH-058,Bar Storage,5107,SKU-00058,VIN-000174,Notes for item 58
Sample Item 59,Sample description for inventory item 59,beverages,oz,13.00,Gourmet Goods LLC,7.00,20.00,9.00,BATCH-059,Prep Station,5108,SKU-00059,VIN-000177,Notes for item 59
Sample Item 60,Sample description for inventory item 60,other,gal,13.75,Sunrise Produce,8.00,22.00,22.00,BATCH-060,Pantry,5109,SKU-00060,VIN-000180,Notes for item 60
Sample Item 61,Sample description for inventory item 61,produce,liter,3.25,Fresh Farms Co.,9.00,19.00,14.00,BATCH-061,Walk-in Cooler,5110,SKU-00061,VIN-000183,Notes for item 61
Sample Item 62,Sample description for inventory item 62,meat,case,4.00,Prime Protein Supply,10.00,21.00,11.00,BATCH-062,Dry Storage,5111,SKU-00062,VIN-000186,Notes for item 62
Sample Item 63,Sample description for inventory item 63,dairy,each,4.75,DairyBest Distributors,11.00,23.00,21.00,BATCH-063,Freezer,5112,SKU-00063,VIN-000189,Notes for item 63
Sample Item 64,Sample description for inventory item 64,dry_goods,pack,5.50,Metro Restaurant Supply,5.00,18.00,12.00,BATCH-064,Bar Storage,5113,SKU-00064,VIN-000192,Notes for item 64
Sample Item 65,Sample description for inventory item 65,beverages,lb,6.25,Gourmet Goods LLC,6.00,20.00,10.00,BATCH-065,Prep Station,5114,SKU-00065,VIN-000195,Notes for item 65
Sample Item 66,Sample description for inventory item 66,other,kg,7.00,Sunrise Produce,7.00,17.00,17.00,BATCH-066,Pantry,5115,SKU-00066,VIN-000198,Notes for item 66
Sample Item 67,Sample description for inventory item 67,produce,oz,7.75,Fresh Farms Co.,8.00,19.00,14.00,BATCH-067,Walk-in Cooler,5116,SKU-00067,VIN-000201,Notes for item 67
Sample Item 68,Sample description for inventory item 68,meat,gal,8.50,Prime Protein Supply,9.00,21.00,11.00,BATCH-068,Dry Storage,5117,SKU-00068,VIN-000204,Notes for item 68
Sample Item 69,Sample description for inventory item 69,dairy,liter,9.25,DairyBest Distributors,10.00,23.00,22.00,BATCH-069,Freezer,5118,SKU-00069,VIN-000207,Notes for item 69
Sample Item 70,Sample description for inventory item 70,dry_goods,case,10.00,Metro Restaurant Supply,11.00,25.00,20.00,BATCH-070,Bar Storage,5119,SKU-00070,VIN-000210,Notes for item 70
Sample Item 71,Sample description for inventory item 71,beverages,each,10.75,Gourmet Goods LLC,5.00,15.00,9.00,BATCH-071,Prep Station,5120,SKU-00071,VIN-000213,Notes for item 71
Sample Item 72,Sample description for inventory item 72,other,pack,11.50,Sunrise Produce,6.00,17.00,17.00,BATCH-072,Pantry,5121,SKU-00072,VIN-000216,Notes for item 72
Sample Item 73,Sample description for inventory item 73,produce,lb,12.25,Fresh Farms Co.,7.00,19.00,14.00,BATCH-073,Walk-in Cooler,5122,SKU-00073,VIN-000219,Notes for item 73
Sample Item 74,Sample description for inventory item 74,meat,kg,13.00,Prime Protein Supply,8.00,21.00,11.00,BATCH-074,Dry Storage,5123,SKU-00074,VIN-000222,Notes for item 74
Sample Item 75,Sample description for inventory item 75,dairy,oz,13.75,DairyBest Distributors,9.00,23.00,23.00,BATCH-075,Freezer,5124,SKU-00075,VIN-000225,Notes for item 75
Sample Item 76,Sample description for inventory item 76,dry_goods,gal,3.25,Metro Restaurant Supply,10.00,20.00,19.00,BATCH-076,Bar Storage,5125,SKU-00076,VIN-000228,Notes for item 76
Sample Item 77,Sample description for inventory item 77,beverages,liter,4.00,Gourmet Goods LLC,11.00,22.00,15.00,BATCH-077,Prep Station,5126,SKU-00077,VIN-000231,Notes for item 77
Sample Item 78,Sample description for inventory item 78,other,case,4.75,Sunrise Produce,5.00,17.00,17.00,BATCH-078,Pantry,5127,SKU-00078,VIN-000234,Notes for item 78
Sample Item 79,Sample description for inventory item 79,produce,each,5.50,Fresh Farms Co.,6.00,19.00,14.00,BATCH-079,Walk-in Cooler,5128,SKU-00079,VIN-000237,Notes for item 79
Sample Item 80,Sample description for inventory item 80,meat,pack,6.25,Prime Protein Supply,7.00,21.00,11.00,BATCH-080,Dry Storage,5129,SKU-00080,VIN-000240,Notes for item 80
Sample Item 81,Sample description for inventory item 81,dairy,lb,7.00,DairyBest Distributors,8.00,18.00,11.00,BATCH-081,Freezer,5130,SKU-00081,VIN-000243,Notes for item 81
Sample Item 82,Sample description for inventory item 82,dry_goods,kg,7.75,Metro Restaurant Supply,9.00,20.00,18.00,BATCH-082,Bar Storage,5131,SKU-00082,VIN-000246,Notes for item 82
Sample Item 83,Sample description for inventory item 83,beverages,oz,8.50,Gourmet Goods LLC,10.00,22.00,14.00,BATCH-083,Prep Station,5132,SKU-00083,VIN-000249,Notes for item 83
Sample Item 84,Sample description for inventory item 84,other,gal,9.25,Sunrise Produce,11.00,24.00,24.00,BATCH-084,Pantry,5133,SKU-00084,VIN-000252,Notes for item 84
Sample Item 85,Sample description for inventory item 85,produce,liter,10.00,Fresh Farms Co.,5.00,19.00,14.00,BATCH-085,Walk-in Cooler,5134,SKU-00085,VIN-000255,Notes for item 85
Sample Item 86,Sample description for inventory item 86,meat,case,10.75,Prime Protein Supply,6.00,16.00,14.00,BATCH-086,Dry Storage,5135,SKU-00086,VIN-000258,Notes for item 86
Sample Item 87,Sample description for inventory item 87,dairy,each,11.50,DairyBest Distributors,7.00,18.00,9.00,BATCH-087,Freezer,5136,SKU-00087,VIN-000261,Notes for item 87
Sample Item 88,Sample description for inventory item 88,dry_goods,pack,12.25,Metro Restaurant Supply,8.00,20.00,17.00,BATCH-088,Bar Storage,5137,SKU-00088,VIN-000264,Notes for item 88
Sample Item 89,Sample description for inventory item 89,beverages,lb,13.00,Gourmet Goods LLC,9.00,22.00,13.00,BATCH-089,Prep Station,5138,SKU-00089,VIN-000267,Notes for item 89
Sample Item 90,Sample description for inventory item 90,other,kg,13.75,Sunrise Produce,10.00,24.00,24.00,BATCH-090,Pantry,5139,SKU-00090,VIN-000270,Notes for item 90
Sample Item 91,Sample description for inventory item 91,produce,oz,3.25,Fresh Farms Co.,11.00,21.00,13.00,BATCH-001,Walk-in Cooler,5140,SKU-00091,VIN-000273,Notes for item 91
Sample Item 92,Sample description for inventory item 92,meat,gal,4.00,Prime Protein Supply,5.00,16.00,12.00,BATCH-002,Dry Storage,5141,SKU-00092,VIN-000276,Notes for item 92
Sample Item 93,Sample description for inventory item 93,dairy,liter,4.75,DairyBest Distributors,6.00,18.00,7.00,BATCH-003,Freezer,5142,SKU-00093,VIN-000279,Notes for item 93
Sample Item 94,Sample description for inventory item 94,dry_goods,case,5.50,Metro Restaurant Supply,7.00,20.00,16.00,BATCH-004,Bar Storage,5143,SKU-00094,VIN-000282,Notes for item 94
Sample Item 95,Sample description for inventory item 95,beverages,each,6.25,Gourmet Goods LLC,8.00,22.00,12.00,BATCH-005,Prep Station,5144,SKU-00095,VIN-000285,Notes for item 95
Sample Item 96,Sample description for inventory item 96,other,pack,7.00,Sunrise Produce,9.00,19.00,16.00,BATCH-006,Pantry,5145,SKU-00096,VIN-000288,Notes for item 96
Sample Item 97,Sample description for inventory item 97,produce,lb,7.75,Fresh Farms Co.,10.00,21.00,10.00,BATCH-007,Walk-in Cooler,5146,SKU-00097,VIN-000291,Notes for item 97
Sample Item 98,Sample description for inventory item 98,meat,kg,8.50,Prime Protein Supply,11.00,23.00,17.00,BATCH-008,Dry Storage,5147,SKU-00098,VIN-000294,Notes for item 98
Sample Item 99,Sample description for inventory item 99,dairy,oz,9.25,DairyBest Distributors,5.00,18.00,5.00,BATCH-009,Freezer,5148,SKU-00099,VIN-000297,Notes for item 99
Sample Item 100,Sample description for inventory item 100,dry_goods,gal,10.00,Metro Restaurant Supply,6.00,20.00,15.00,BATCH-010,Bar Storage,5149,SKU-00100,VIN-000300,Notes for item 100
Sample Item 101,Sample description for inventory item 101,beverages,liter,10.75,Gourmet Goods LLC,7.00,17.00,8.00,BATCH-011,Prep Station,5100,SKU-00101,VIN-000303,Notes for item 101
Sample Item 102,Sample description for inventory item 102,other,case,11.50,Sunrise Produce,8.00,19.00,13.00,BATCH-012,Pantry,5101,SKU-00102,VIN-000306,Notes for item 102
Sample Item 103,Sample description for inventory item 103,produce,each,12.25,Fresh Farms Co.,9.00,21.00,20.00,BATCH-013,Walk-in Cooler,5102,SKU-00103,VIN-000309,Notes for item 103
Sample Item 104,Sample description for inventory item 104,meat,pack,13.00,Prime Protein Supply,10.00,23.00,15.00,BATCH-014,Dry Storage,5103,SKU-00104,VIN-000312,Notes for item 104
Sample Item 105,Sample description for inventory item 105,dairy,lb,13.75,DairyBest Distributors,11.00,25.00,25.00,BATCH-015,Freezer,5104,SKU-00105,VIN-000315,Notes for item 105
Sample Item 106,Sample description for inventory item 106,dry_goods,kg,3.25,Metro Restaurant Supply,5.00,15.00,11.00,BATCH-016,Bar Storage,5105,SKU-00106,VIN-000318,Notes for item 106
Sample Item 107,Sample description for inventory item 107,beverages,oz,4.00,Gourmet Goods LLC,6.00,17.00,16.00,BATCH-017,Prep Station,5106,SKU-00107,VIN-000321,Notes for item 107
Sample Item 108,Sample description for inventory item 108,other,gal,4.75,Sunrise Produce,7.00,19.00,10.00,BATCH-018,Pantry,5107,SKU-00108,VIN-000324,Notes for item 108
Sample Item 109,Sample description for inventory item 109,produce,liter,5.50,Fresh Farms Co.,8.00,21.00,18.00,BATCH-019,Walk-in Cooler,5108,SKU-00109,VIN-000327,Notes for item 109
Sample Item 110,Sample description for inventory item 110,meat,case,6.25,Prime Protein Supply,9.00,23.00,13.00,BATCH-020,Dry Storage,5109,SKU-00110,VIN-000330,Notes for item 110
Sample Item 111,Sample description for inventory item 111,dairy,each,7.00,DairyBest Distributors,10.00,20.00,10.00,BATCH-021,Freezer,5110,SKU-00111,VIN-000333,Notes for item 111
Sample Item 112,Sample description for inventory item 112,dry_goods,pack,7.75,Metro Restaurant Supply,11.00,22.00,14.00,BATCH-022,Bar Storage,5111,SKU-00112,VIN-000336,Notes for item 112
Sample Item 113,Sample description for inventory item 113,beverages,lb,8.50,Gourmet Goods LLC,5.00,17.00,13.00,BATCH-023,Prep Station,5112,SKU-00113,VIN-000339,Notes for item 113
Sample Item 114,Sample description for inventory item 114,other,kg,9.25,Sunrise Produce,6.00,19.00,7.00,BATCH-024,Pantry,5113,SKU-00114,VIN-000342,Notes for item 114
Sample Item 115,Sample description for inventory item 115,produce,oz,10.00,Fresh Farms Co.,7.00,21.00,16.00,BATCH-025,Walk-in Cooler,5114,SKU-00115,VIN-000345,Notes for item 115
Sample Item 116,Sample description for inventory item 116,meat,gal,10.75,Prime Protein Supply,8.00,18.00,13.00,BATCH-026,Dry Storage,5115,SKU-00116,VIN-000348,Notes for item 116
Sample Item 117,Sample description for inventory item 117,dairy,liter,11.50,DairyBest Distributors,9.00,20.00,17.00,BATCH-027,Freezer,5116,SKU-00117,VIN-000351,Notes for item 117
Sample Item 118,Sample description for inventory item 118,dry_goods,case,12.25,Metro Restaurant Supply,10.00,22.00,10.00,BATCH-028,Bar Storage,5117,SKU-00118,VIN-000354,Notes for item 118
Sample Item 119,Sample description for inventory item 119,beverages,each,13.00,Gourmet Goods LLC,11.00,24.00,17.00,BATCH-029,Prep Station,5118,SKU-00119,VIN-000357,Notes for item 119
Sample Item 120,Sample description for inventory item 120,other,pack,13.75,Sunrise Produce,5.00,19.00,19.00,BATCH-030,Pantry,5119,SKU-00120,VIN-000360,Notes for item 120
Sample Item 121,Sample description for inventory item 121,produce,lb,3.25,Fresh Farms Co.,6.00,16.00,16.00,BATCH-031,Walk-in Cooler,5120,SKU-00121,VIN-000363,Notes for item 121
Sample Item 122,Sample description for inventory item 122,meat,kg,4.00,Prime Protein Supply,7.00,18.00,8.00,BATCH-032,Dry Storage,5121,SKU-00122,VIN-000366,Notes for item 122
Sample Item 123,Sample description for inventory item 123,dairy,oz,4.75,DairyBest Distributors,8.00,20.00,13.00,BATCH-033,Freezer,5122,SKU-00123,VIN-000369,Notes for item 123
Sample Item 124,Sample description for inventory item 124,dry_goods,gal,5.50,Metro Restaurant Supply,9.00,22.00,20.00,BATCH-034,Bar Storage,5123,SKU-00124,VIN-000372,Notes for item 124
Sample Item 125,Sample description for inventory item 125,beverages,liter,6.25,Gourmet Goods LLC,10.00,24.00,14.00,BATCH-035,Prep Station,5124,SKU-00125,VIN-000375,Notes for item 125
Sample Item 126,Sample description for inventory item 126,other,case,7.00,Sunrise Produce,11.00,21.00,15.00,BATCH-036,Pantry,5125,SKU-00126,VIN-000378,Notes for item 126
Sample Item 127,Sample description for inventory item 127,produce,each,7.75,Fresh Farms Co.,5.00,16.00,11.00,BATCH-037,Walk-in Cooler,5126,SKU-00127,VIN-000381,Notes for item 127
Sample Item 128,Sample description for inventory item 128,meat,pack,8.50,Prime Protein Supply,6.00,18.00,16.00,BATCH-038,Dry Storage,5127,SKU-00128,VIN-000384,Notes for item 128
Sample Item 129,Sample description for inventory item 129,dairy,lb,9.25,DairyBest Distributors,7.00,20.00,9.00,BATCH-039,Freezer,5128,SKU-00129,VIN-000387,Notes for item 129
Sample Item 130,Sample description for inventory item 130,dry_goods,kg,10.00,Metro Restaurant Supply,8.00,22.00,17.00,BATCH-040,Bar Storage,5129,SKU-00130,VIN-000390,Notes for item 130
Sample Item 131,Sample description for inventory item 131,beverages,oz,10.75,Gourmet Goods LLC,9.00,19.00,18.00,BATCH-041,Prep Station,5130,SKU-00131,VIN-000393,Notes for item 131
Sample Item 132,Sample description for inventory item 132,other,gal,11.50,Sunrise Produce,10.00,21.00,21.00,BATCH-042,Pantry,5131,SKU-00132,VIN-000396,Notes for item 132
Sample Item 133,Sample description for inventory item 133,produce,liter,12.25,Fresh Farms Co.,11.00,23.00,13.00,BATCH-043,Walk-in Cooler,5132,SKU-00133,VIN-000399,Notes for item 133
Sample Item 134,Sample description for inventory item 134,meat,case,13.00,Prime Protein Supply,5.00,18.00,12.00,BATCH-044,Dry Storage,5133,SKU-00134,VIN-000402,Notes for item 134
Sample Item 135,Sample description for inventory item 135,dairy,each,13.75,DairyBest Distributors,6.00,20.00,20.00,BATCH-045,Freezer,5134,SKU-00135,VIN-000405,Notes for item 135
Sample Item 136,Sample description for inventory item 136,dry_goods,pack,3.25,Metro Restaurant Supply,7.00,17.00,10.00,BATCH-046,Bar Storage,5135,SKU-00136,VIN-000408,Notes for item 136
Sample Item 137,Sample description for inventory item 137,beverages,lb,4.00,Gourmet Goods LLC,8.00,19.00,12.00,BATCH-047,Prep Station,5136,SKU-00137,VIN-000411,Notes for item 137
Sample Item 138,Sample description for inventory item 138,other,kg,4.75,Sunrise Produce,9.00,21.00,16.00,BATCH-048,Pantry,5137,SKU-00138,VIN-000414,Notes for item 138
Sample Item 139,Sample description for inventory item 139,produce,oz,5.50,Fresh Farms Co.,10.00,23.00,22.00,BATCH-049,Walk-in Cooler,5138,SKU-00139,VIN-000417,Notes for item 139
Sample Item 140,Sample description for inventory item 140,meat,gal,6.25,Prime Protein Supply,11.00,25.00,15.00,BATCH-050,Dry Storage,5139,SKU-00140,VIN-000420,Notes for item 140
Sample Item 141,Sample description for inventory item 141,dairy,liter,7.00,DairyBest Distributors,5.00,15.00,13.00,BATCH-051,Freezer,5140,SKU-00141,VIN-000423,Notes for item 141
Sample Item 142,Sample description for inventory item 142,dry_goods,case,7.75,Metro Restaurant Supply,6.00,17.00,15.00,BATCH-052,Bar Storage,5141,SKU-00142,VIN-000426,Notes for item 142
Sample Item 143,Sample description for inventory item 143,beverages,each,8.50,Gourmet Goods LLC,7.00,19.00,19.00,BATCH-053,Prep Station,5142,SKU-00143,VIN-000429,Notes for item 143
Sample Item 144,Sample description for inventory item 144,other,pack,9.25,Sunrise Produce,8.00,21.00,11.00,BATCH-054,Pantry,5143,SKU-00144,VIN-000432,Notes for item 144
Sample Item 145,Sample description for inventory item 145,produce,lb,10.00,Fresh Farms Co.,9.00,23.00,18.00,BATCH-055,Walk-in Cooler,5144,SKU-00145,VIN-000435,Notes for item 145
Sample Item 146,Sample description for inventory item 146,meat,kg,10.75,Prime Protein Supply,10.00,20.00,12.00,BATCH-056,Dry Storage,5145,SKU-00146,VIN-000438,Notes for item 146
Sample Item 147,Sample description for inventory item 147,dairy,oz,11.50,DairyBest Distributors,11.00,22.00,13.00,BATCH-057,Freezer,5146,SKU-00147,VIN-000441,Notes for item 147
Sample Item 148,Sample description for inventory item 148,dry_goods,gal,12.25,Metro Restaurant Supply,5.00,17.00,9.00,BATCH-058,Bar Storage,5147,SKU-00148,VIN-000444,Notes for item 148
Sample Item 149,Sample description for inventory item 149,beverages,liter,13.00,Gourmet Goods LLC,6.00,19.00,14.00,BATCH-059,Prep Station,5148,SKU-00149,VIN-000447,Notes for item 149
Sample Item 150,Sample description for inventory item 150,other,case,13.75,Sunrise Produce,7.00,21.00,21.00,BATCH-060,Pantry,5149,SKU-00150,VIN-000450,Notes for item 150
Sample Item 151,Sample description for inventory item 151,produce,each,3.25,Fresh Farms Co.,8.00,18.00,15.00,BATCH-061,Walk-in Cooler,5100,SKU-00151,VIN-000453,Notes for item 151
